date,Content,Likes,Retweet
2020-12-08 16:57:13+00:00,"@SpaceX @Space_Station It’s called the Space “Station”, but it’s actually moving around Earth at ~25 times the speed of sound or ~10 times faster than a rifle bullet",22211,1035
2020-12-08 16:44:50+00:00,"“So long, and thanks for the orifice!”
- Alien message decrypted",168370,10583
2020-12-08 02:51:45+00:00,@SpaceX Probably 1/3 chance of completing all mission objectives,14221,319
2020-12-08 02:50:30+00:00,@SpaceX Hopefully flying tomorrow,21674,516
2020-12-08 00:16:56+00:00,@NASASpaceflight Yup,5098,80
2020-12-07 20:13:07+00:00,Out on the pad in South Texas https://t.co/RcYOXXpTc2,131421,6950
2020-12-07 18:13:53+00:00,"@Space_Station @SpaceX Wow, Station looks amazing!",7432,182
2020-12-07 17:57:28+00:00,"@NASASpaceflight Knock, knock, singing telegram!",4043,79
2020-12-07 15:11:21+00:00,@lexfridman Carrying even more symbiotic bacteria (~40 trillion) than cells,3685,98
2020-12-07 15:08:22+00:00,@AdamKlotz_ @lexfridman Yes,968,26
2020-12-07 15:07:08+00:00,@lexfridman We are mobile cell colonies,12848,359
2020-12-07 04:37:42+00:00,100,133798,3996
2020-12-06 21:30:33+00:00,"Im Gespräch mit Mathias Döpfner 

https://t.co/bqa5pIAOnk",12805,440
2020-12-06 10:35:51+00:00,@haya2e_jaxa @JAXA_en Congratulations!,6496,103
2020-12-05 22:06:01+00:00,@haya2e_jaxa Congratulations!,5739,132
2020-12-05 09:56:35+00:00,"@RDAnglePhoto @SpaceX @Teslarati Yes, it does.",8647,95
2020-12-03 23:40:23+00:00,@RationalEtienne And no toilet paper 🤣🤣,2961,63
2020-12-03 23:30:34+00:00,Watch Demolition Man,88629,3708
2020-12-03 23:19:57+00:00,Prometheus Unbound,53690,1526
2020-12-03 02:21:46+00:00,@ErcXspace @SpaceX @NASASpaceflight @Erdayastronaut @MarcusHouseGame @FelixSchlang Not bad,6778,61
2020-12-02 17:33:24+00:00,@TheOnion It was a beast compared to the VIC-20,4841,84
2020-12-02 13:29:19+00:00,"@Tesmanian_com Award accepted on behalf of the great people at Tesla, SpaceX, Neuralink &amp; Boring Co",7885,254
2020-12-02 03:19:28+00:00,"Much of what people think of an science is actually engineering, eg no such thing as a “rocket scientist”, only rocket engineers. Latter is who put humans on the moon.",37378,2017
2020-12-02 03:13:25+00:00,"Science is discovering the essential truths about what exists in the Universe, engineering is about creating things that never existed
https://t.co/aIEUtHoPxM",68257,5728
2020-12-02 03:03:05+00:00,@justpaulinelol It does get a bit cold at night,13447,157
2020-12-01 11:58:41+00:00,@engineers_feed Paint makes a hell of a difference,15493,183
2020-11-30 23:18:18+00:00,@DeepMind Congrats!,3819,80
2020-11-30 22:53:11+00:00,@lrocket Thanks for everything you did to help build SpaceX! Some of the best memories ever.,38409,362
2020-11-30 18:26:28+00:00,@RGVaerialphotos It will be real soon,4141,101
2020-11-29 22:57:08+00:00,"@MarcusHouseGame @bcart03 @nextspaceflight @NASASpaceflight Starship legs are one of the hardest problems. Externally mounted legs require shielding, which adds mass. Wider stance adds mass. Shock absorbers add mass. That said, we need better legs.",3829,156
2020-11-29 19:01:30+00:00,"@bcart03 @nextspaceflight @NASASpaceflight Static fire is not risky from build site, but we need to clear the build site for early flights",1786,69
2020-11-29 18:58:27+00:00,@nextspaceflight @NASASpaceflight Just a static fire tomorrow. Flight no earlier than Wednesday.,6930,308
2020-11-28 18:28:24+00:00,"@eugenelee3 @PPathole @karpathy Yes, very sad news. Tony was great.",1521,37
2020-11-28 18:06:34+00:00,"@PPathole @karpathy For a second there, I thought that was a pic of Thanos haha",812,30
2020-11-28 01:46:31+00:00,"@Poppa_BearQ @ID_AA_Carmack Yeah, truncate zeros &amp; then round",716,19
2020-11-28 01:45:22+00:00,@dburkland @ID_AA_Carmack Probably going to a wider beta in ~2 weeks,1960,89
2020-11-28 01:17:26+00:00,@ID_AA_Carmack fp16 with least important digits truncated (so it feels like fp32) is what we’re betting on for training with Dojo,774,29
2020-11-28 00:57:58+00:00,@ID_AA_Carmack Int8 for almost all heavy lifting in inference works great,848,18
2020-11-26 19:27:13+00:00,@thisisjendoll But actually! https://t.co/lb14pKsayI,1166,48
2020-11-26 19:26:22+00:00,@thisisjendoll https://t.co/mMg5b8b40z,1736,68
2020-11-26 15:12:00+00:00,Happy Thanksgiving!,225262,7661
2020-11-26 05:43:01+00:00,@teslaownerssv @JohnEG78 @TeslaChillMode @UNPLGD3 @MFrunker @ccteslaclub Hopefully next month,1537,40
2020-11-26 05:40:57+00:00,"@JohnEG78 @TeslaChillMode @UNPLGD3 @MFrunker @ccteslaclub Ok. Overall air suspension height &amp; damping algorithm is getting a lot of attention. Will be linked to FSD, so acts automatically.",1126,44
2020-11-26 05:38:31+00:00,@karpathy Haha true,2343,23
2020-11-26 05:37:34+00:00,@HumanoidHistory The Promise is greatly needed,7099,146
2020-11-25 23:45:24+00:00,"@EvaFoxU We will have special colors for new Roadster, as we did for the original",3580,130
2020-11-25 22:16:02+00:00,@RationalEtienne @TheBabylonBee 🤣🤣,3875,51
2020-11-25 20:38:25+00:00,.@TheBabylonBee is savage 🤣🤣,86114,4007
2020-11-25 18:12:04+00:00,@WorldAndScience If you ever wondered where we came from,10929,339
2020-11-25 02:12:17+00:00,"This is a life leader launch, so more risk than normal",29411,1369
2020-11-25 00:18:27+00:00,"@TesLatino @flcnhvy @thesheetztweetz Yes, but only slightly filled",2067,43
